n,p,k,rep,seed,n_original,n_connected,n_edges_G,spanner_size,theoretical_bound,spanner_size_ratio,max_stretch_edges,avg_stretch_edges,max_stretch_pairs,avg_stretch_pairs,time_gen,time_spanner,time_stretch,n_infinite_stretch_edges,n_infinite_stretch_pairs
500,0.003800451229771041,2,0,42,500,392,460,417,15522.408060607091,0.02686438846162448,inf,1.0,inf,1.0685404552979743,0.02533578872680664,0.0005061626434326172,0.18504786491394043,43,156
500,0.003800451229771041,2,1,43,500,367,429,374,14061.417140530324,0.026597603659875114,inf,1.158311345646438,inf,1.1979564604140243,0.024625062942504883,0.00048089027404785156,0.1671900749206543,50,156
500,0.003800451229771041,2,2,44,500,382,439,402,14932.242698268738,0.02692160903911697,inf,1.0617283950617284,inf,1.1139184187122861,0.02418208122253418,0.0004611015319824219,0.1807849407196045,34,146
500,0.003800451229771041,2,3,45,500,330,373,331,11989.495402226066,0.02760750047400192,inf,1.0180722891566265,inf,1.1678101080361727,0.023873090744018555,0.0004088878631591797,0.13566994667053223,41,247
500,0.003800451229771041,2,4,46,500,401,455,416,16060.03748438963,0.02590280380132066,inf,1.0596658711217184,inf,1.1152659252773671,0.024040937423706055,0.0004951953887939453,0.1890869140625,36,122
500,0.003800451229771041,3,0,42,500,392,460,447,8606.687029974026,0.05193636046521248,inf,1.0,inf,1.0311682041491481,0.024925947189331055,0.0007278919219970703,0.19698286056518555,13,68
500,0.003800451229771041,3,1,43,500,367,429,416,7882.718306140878,0.05277367322335029,inf,1.0191846522781776,inf,1.0258690545198481,0.02384018898010254,0.0006830692291259766,0.18084478378295898,12,50
500,0.003800451229771041,3,2,44,500,382,439,423,8315.194366919826,0.050870729093575075,inf,1.0188679245283019,inf,1.0618628255837756,0.024449825286865234,0.0007259845733642578,0.18920302391052246,15,68
500,0.003800451229771041,3,3,45,500,330,373,370,6841.318997711069,0.054083138079629466,11.0,1.064343163538874,5.0,1.0226881504659284,0.025508880615234375,0.0006248950958251953,0.15902185440063477,0,0
500,0.003800451229771041,3,4,46,500,401,455,439,8871.160122015859,0.049486199545707536,inf,1.1681614349775784,inf,1.0923192354697462,0.025247812271118164,0.0007238388061523438,0.19989633560180664,9,16
500,0.003800451229771041,4,0,42,500,392,460,450,6976.981559246365,0.0644978055594299,inf,1.1074561403508771,inf,1.034747662131683,0.0251162052154541,0.0009658336639404297,0.19899868965148926,4,26
500,0.003800451229771041,4,1,43,500,367,429,421,6425.287598590201,0.06552235888902053,19.0,1.1888111888111887,2.2857142857142856,1.0466303169192617,0.025113821029663086,0.0009219646453857422,0.18370747566223145,0,0
500,0.003800451229771041,4,2,44,500,382,439,434,6755.215295304011,0.06424665699429322,inf,1.0298850574712644,inf,1.005441906188559,0.024030208587646484,0.0009710788726806641,0.1903979778289795,4,29
500,0.003800451229771041,4,3,45,500,330,373,369,5626.034825867755,0.06558793385056691,inf,1.0564516129032258,inf,1.0146511671281848,0.024344682693481445,0.0008459091186523438,0.15616440773010254,1,20
500,0.003800451229771041,4,4,46,500,401,455,451,7177.785191124204,0.06283275244259061,inf,1.030905077262693,inf,1.0090656639580822,0.023851871490478516,0.0009899139404296875,0.20251917839050293,2,20
