n,p,k,rep,seed,n_original,n_connected,n_edges_G,spanner_size,theoretical_bound,spanner_size_ratio,max_stretch_edges,avg_stretch_edges,max_stretch_pairs,avg_stretch_pairs,time_gen,time_spanner,time_stretch,n_infinite_stretch_edges,n_infinite_stretch_pairs
500,0.0017034386382832477,2,0,42,500,9,8,5,54.0,0.09259259259259259,inf,1.0,inf,1.0,0.025175094604492188,5.4836273193359375e-05,0.005496025085449219,3,639
500,0.0017034386382832477,2,1,43,500,32,31,20,362.03867196751236,0.05524271728019902,inf,1.0,inf,1.0,0.02438211441040039,7.891654968261719e-05,0.010650873184204102,11,792
500,0.0017034386382832477,2,2,44,500,25,24,17,250.0,0.068,inf,1.0,inf,1.0,0.024008989334106445,6.914138793945312e-05,0.009338140487670898,7,701
500,0.0017034386382832477,2,3,45,500,30,29,24,328.63353450309967,0.07302967433402215,inf,1.0,inf,1.0,0.024657011032104492,7.486343383789062e-05,0.01188516616821289,5,515
500,0.0017034386382832477,2,4,46,500,15,14,11,116.1895003862225,0.09467292624062575,inf,1.0,inf,1.0,0.02367377281188965,5.412101745605469e-05,0.006708860397338867,3,724
500,0.0017034386382832477,3,0,42,500,9,8,6,56.1622632224014,0.10683330150425249,inf,1.0,inf,1.0,0.023700952529907227,6.341934204101562e-05,0.0057680606842041016,2,527
500,0.0017034386382832477,3,1,43,500,32,31,25,304.7810019778942,0.08202611001919749,inf,1.0,inf,1.0,0.024403095245361328,9.608268737792969e-05,0.0120391845703125,6,597
500,0.0017034386382832477,3,2,44,500,25,24,20,219.30133036596493,0.09119871715609051,inf,1.0,inf,1.0,0.024100065231323242,8.0108642578125e-05,0.009414911270141602,4,685
500,0.0017034386382832477,3,3,45,500,30,29,28,279.65092553584725,0.10012482507021347,inf,1.0,inf,1.0,0.024061918258666992,8.893013000488281e-05,0.014032602310180664,1,57
500,0.0017034386382832477,3,4,46,500,15,14,11,110.97954334487113,0.09911736585378876,inf,1.0,inf,1.0,0.024898052215576172,7.987022399902344e-05,0.008027315139770508,3,351
500,0.0017034386382832477,4,0,42,500,9,8,6,62.353829072479584,0.09622504486493763,inf,1.0,inf,1.0,0.024461984634399414,6.389617919921875e-05,0.0057790279388427734,2,527
500,0.0017034386382832477,4,1,43,500,32,31,28,304.4370214406966,0.09197304541837503,inf,1.0,inf,1.0,0.02494215965270996,0.00011110305786132812,0.013141155242919922,3,571
500,0.0017034386382832477,4,2,44,500,25,24,21,223.60679774997897,0.09391485505499117,inf,1.0,inf,1.0,0.02423882484436035,0.0001049041748046875,0.011859893798828125,3,322
500,0.0017034386382832477,4,3,45,500,30,29,28,280.8416783184859,0.09970030149245462,inf,1.0,inf,1.0,0.02440190315246582,0.00011324882507324219,0.01412820816040039,1,125
500,0.0017034386382832477,4,4,46,500,15,14,12,118.07938027592583,0.10162654963092295,inf,1.0,inf,1.0,0.024174928665161133,7.200241088867188e-05,0.007999181747436523,2,340
500,0.0017034386382832477,5,0,42,500,9,8,6,69.83305082619117,0.08591920199696726,inf,1.0,inf,1.0,0.02422809600830078,6.890296936035156e-05,0.005721092224121094,2,527
500,0.0017034386382832477,5,1,43,500,32,31,31,319.99999999999994,0.09687500000000002,1.0,1.0,1.0,1.0,0.02461719512939453,0.00013208389282226562,0.015191078186035156,0,0
500,0.0017034386382832477,5,2,44,500,25,24,21,237.95674233948478,0.08825133422796659,inf,1.0,inf,1.0,0.0241239070892334,0.00010991096496582031,0.011460065841674805,3,262
500,0.0017034386382832477,5,3,45,500,30,29,27,296.1525728752229,0.09116922314018129,inf,1.0,inf,1.0,0.024017810821533203,0.00013637542724609375,0.013889074325561523,2,118
500,0.0017034386382832477,5,4,46,500,15,14,14,128.9078945690609,0.10860467504183512,1.0,1.0,1.0,1.0,0.023908138275146484,9.226799011230469e-05,0.008806943893432617,0,0
500,0.003800451229771041,2,0,42,500,392,460,417,15522.408060607091,0.02686438846162448,inf,1.0,inf,1.0685404552979743,0.02476191520690918,0.0005025863647460938,0.18502092361450195,43,156
