n,p,k,rep,seed,n_original,n_connected,n_edges_G,spanner_size,theoretical_bound,spanner_size_ratio,max_stretch_edges,avg_stretch_edges,max_stretch_pairs,avg_stretch_pairs,time_gen,time_spanner,time_stretch,n_infinite_stretch_edges,n_infinite_stretch_pairs
500,0.003800451229771041,2,0,42,500,392,460,417,15522.408060607091,0.02686438846162448,inf,1.0,inf,1.0685404552979743,0.02464008331298828,0.0004980564117431641,0.18813204765319824,43,156
500,0.003800451229771041,2,1,43,500,367,429,374,14061.417140530324,0.026597603659875114,inf,1.158311345646438,inf,1.1979564604140243,0.02326488494873047,0.0004627704620361328,0.1690809726715088,50,156
500,0.003800451229771041,2,2,44,500,382,439,402,14932.242698268738,0.02692160903911697,inf,1.0617283950617284,inf,1.1139184187122861,0.02432703971862793,0.0004811286926269531,0.18065404891967773,34,146
500,0.003800451229771041,2,3,45,500,330,373,331,11989.495402226066,0.02760750047400192,inf,1.0180722891566265,inf,1.1678101080361727,0.02398204803466797,0.00041961669921875,0.13565278053283691,41,247
500,0.003800451229771041,2,4,46,500,401,455,416,16060.03748438963,0.02590280380132066,inf,1.0596658711217184,inf,1.1152659252773671,0.02422809600830078,0.0005011558532714844,0.18909406661987305,36,122
500,0.003800451229771041,3,0,42,500,392,460,447,8606.687029974026,0.05193636046521248,inf,1.0,inf,1.0311682041491481,0.024074792861938477,0.0007240772247314453,0.19678688049316406,13,68
500,0.003800451229771041,3,1,43,500,367,429,416,7882.718306140878,0.05277367322335029,inf,1.0191846522781776,inf,1.0258690545198481,0.02369403839111328,0.0006961822509765625,0.1816082000732422,12,50
500,0.003800451229771041,3,2,44,500,382,439,423,8315.194366919826,0.050870729093575075,inf,1.0188679245283019,inf,1.0618628255837756,0.024072885513305664,0.0007138252258300781,0.19201445579528809,15,68
500,0.003800451229771041,3,3,45,500,330,373,370,6841.318997711069,0.054083138079629466,11.0,1.064343163538874,5.0,1.0226881504659284,0.02474498748779297,0.0006232261657714844,0.17168450355529785,0,0
500,0.003800451229771041,3,4,46,500,401,455,439,8871.160122015859,0.049486199545707536,inf,1.1681614349775784,inf,1.0923192354697462,0.027759313583374023,0.0010921955108642578,0.21641278266906738,9,16
500,0.003800451229771041,4,0,42,500,392,460,450,6976.981559246365,0.0644978055594299,inf,1.1074561403508771,inf,1.034747662131683,0.02347111701965332,0.000942230224609375,0.20156121253967285,4,26
500,0.003800451229771041,4,1,43,500,367,429,421,6425.287598590201,0.06552235888902053,19.0,1.1888111888111887,2.2857142857142856,1.0466303169192617,0.024348020553588867,0.0009381771087646484,0.1849040985107422,0,0
500,0.003800451229771041,4,2,44,500,382,439,434,6755.215295304011,0.06424665699429322,inf,1.0298850574712644,inf,1.005441906188559,0.02380990982055664,0.0009241104125976562,0.19146060943603516,4,29
