n,p,k,rep,seed,n_original,n_connected,n_edges_G,spanner_size,theoretical_bound,spanner_size_ratio,max_stretch_edges,avg_stretch_edges,max_stretch_pairs,avg_stretch_pairs,time_gen,time_spanner,time_stretch,n_infinite_stretch_edges,n_infinite_stretch_pairs
500,0.003800451229771041,2,0,42,500,392,460,417,15522.408060607091,0.02686438846162448,inf,1.0,inf,1.0685404552979743,0.02627110481262207,0.0005018711090087891,0.18356084823608398,43,156
500,0.003800451229771041,2,1,43,500,367,429,374,14061.417140530324,0.026597603659875114,inf,1.158311345646438,inf,1.1979564604140243,0.024922847747802734,0.0004849433898925781,0.16648650169372559,50,156
500,0.003800451229771041,2,2,44,500,382,439,402,14932.242698268738,0.02692160903911697,inf,1.0617283950617284,inf,1.1139184187122861,0.02505803108215332,0.0004673004150390625,0.17994093894958496,34,146
500,0.003800451229771041,2,3,45,500,330,373,331,11989.495402226066,0.02760750047400192,inf,1.0180722891566265,inf,1.1678101080361727,0.02491283416748047,0.00042128562927246094,0.13643860816955566,41,247
500,0.003800451229771041,2,4,46,500,401,455,416,16060.03748438963,0.02590280380132066,inf,1.0596658711217184,inf,1.1152659252773671,0.025439977645874023,0.0004899501800537109,0.18901491165161133,36,122
500,0.003800451229771041,3,0,42,500,392,460,447,8606.687029974026,0.05193636046521248,inf,1.0,inf,1.0311682041491481,0.025178909301757812,0.0007390975952148438,0.2020277976989746,13,68
500,0.003800451229771041,3,1,43,500,367,429,416,7882.718306140878,0.05277367322335029,inf,1.0191846522781776,inf,1.0258690545198481,0.024789810180664062,0.0006968975067138672,0.18166804313659668,12,50
500,0.003800451229771041,3,2,44,500,382,439,423,8315.194366919826,0.050870729093575075,inf,1.0188679245283019,inf,1.0618628255837756,0.02502608299255371,0.0007350444793701172,0.1911637783050537,15,68
500,0.003800451229771041,3,3,45,500,330,373,370,6841.318997711069,0.054083138079629466,11.0,1.064343163538874,5.0,1.0226881504659284,0.02549004554748535,0.0006167888641357422,0.159423828125,0,0
500,0.003800451229771041,3,4,46,500,401,455,439,8871.160122015859,0.049486199545707536,inf,1.1681614349775784,inf,1.0923192354697462,0.026052236557006836,0.0007598400115966797,0.20548486709594727,9,16
